,NAME,ensembl,htseqout_filter_B24,htseqout_filter_C24,htseqout_filter_D24,htseqout_filter_E24,htseqout_filter_F24,htseqout_filter_G24
6221,Socs36E,FBgn0041184,6.58490465,6.452410115,6.428579392,7.009479115,7.034981165,6.801880582
6222,Slbp,FBgn0041186,3.85109955,4.653402196,3.743468764,4.246134192,4.439693867,4.555043217
6223,Atx2,FBgn0041188,7.348851757,7.240228842,7.078153288,7.174016838,7.086695537,6.793769179
6224,Rheb,FBgn0041191,6.490568023,6.716742479,6.551799674,6.320566492,6.343839339,6.310080421
6225,LIMK1,FBgn0041203,5.372145648,4.607453349,4.833675262,5.360310475,5.681670121,4.797259427
6226,key,FBgn0041205,3.818576174,3.150728328,2.960239859,1.747430421,2.482853588,2.325527711
6227,HDAC4,FBgn0041210,4.164609277,5.129238101,5.753397598,4.553187368,5.562228332,4.392671154
6228,Gr47b,FBgn0041241,0.353479845,-3.074225423,1.037109421,-0.559449142,1.750813651,-3.098146567
6229,Gr43a,FBgn0041243,2.429767155,2.980925827,3.743468764,3.162982016,1.171984666,3.652331129
6230,Gr32a,FBgn0041246,2.94698324,2.383590285,1.509951068,3.069391683,3.647691373,0.639967641
6231,Cct1,FBgn0041342,7.743280612,8.062916869,7.20068683,7.48873648,7.898206851,7.233066755
6232,tamo,FBgn0041582,5.042022224,5.409165489,5.156984811,5.834042191,5.303684424,5.437461973
6233,olf186-F,FBgn0041585,5.186375566,5.330536514,5.272886825,5.094512573,4.831664029,5.365998963
6234,eIF2D,FBgn0041588,4.378041726,4.395917859,3.412475899,4.843044594,4.398786224,4.529785117
6235,dlp,FBgn0041604,2.999511485,2.414415949,3.47576964,2.998617497,1.793520764,3.521768122
6236,cpx,FBgn0041605,10.47640654,10.43312928,10.51368473,10.40197877,10.09818859,10.28071738
6237,Ku80,FBgn0041627,3.111141945,2.286952742,2.463162466,-0.397956758,2.118669173,1.673646038
6238,Hexo2,FBgn0041629,4.35050115,4.494782226,4.466534918,4.391333044,4.139366789,3.370635399
6239,Hexo1,FBgn0041630,7.244240149,6.756759418,7.104257992,7.328685126,7.396491971,7.121958103
6240,CG15107,FBgn0041702,2.410498217,2.218733198,2.553948495,1.676654567,2.25734194,2.784332364
6241,CG3253,FBgn0041706,5.802741347,6.109232053,6.03396228,5.115847487,5.802468203,5.804794332
6242,7B2,FBgn0041707,9.788457519,9.78985349,10.03393413,9.873764346,10.06498134,10.04296204
6243,yellow-d,FBgn0041712,1.529104391,2.48145593,0.950638725,-2.560269963,3.00907726,3.740107184
6244,rho-5,FBgn0041723,6.000947728,6.389802546,6.545667237,7.099598226,6.368178171,6.877246906
6245,tral,FBgn0041775,6.43979336,6.101557227,5.906723232,5.840801683,5.761822505,6.074214695
6246,SCAR,FBgn0041781,6.077773958,6.213696842,6.052245783,5.551269369,5.608808462,5.450083319
6247,Pax,FBgn0041789,7.231943637,7.051504154,6.835333895,6.537884194,6.802533187,6.542940501
6248,CG3267,FBgn0042083,1.789917656,-1.222120183,0.826639818,0.934266708,1.914543296,2.124238565
6249,Bap170,FBgn0042085,3.997106633,4.577122773,2.65767051,5.872153838,4.954367315,4.694928175
6250,CG13773,FBgn0042092,3.005945053,3.164394019,2.779734109,3.154325695,3.513617684,3.039472175
6251,Adk3,FBgn0042094,2.168158625,1.497482056,2.043145266,1.980752383,2.79456663,1.879615336
6252,CG18735,FBgn0042098,3.2957489,2.996289366,2.876721802,3.375273314,3.639910894,3.389479961
6253,CG18744,FBgn0042101,0.353479845,1.423643709,-3.290859744,0.37266259,2.17359343,-0.658472716
6254,CG18766,FBgn0042111,7.147537921,7.325060679,7.294367695,7.007077289,7.071230303,7.262498447
